text,label
"Hi team, reminder that our weekly project sync is tomorrow at 11 AM in the lab. Please bring your progress updates. Thanks, Prof. Sharma",legitimate
Your order 48213 has shipped and will arrive on Friday. You can track your package from your orders page. Thank you for shopping with us.,legitimate
Attached is the assignment for Data Structures unit 3. Submit by next Monday through the college portal. Let me know if you have doubts.,legitimate
Thank you for registering for the hackathon. Your team has been confirmed. The schedule and venue details are attached. See you on the day!,legitimate
"Hello, the meeting notes from yesterday are below. Action items: finalize the API design, update the README, review pull requests.",legitimate
"Your password was changed successfully. If you made this change, no further action is needed. Otherwise contact our support through the official website.",legitimate
"Monthly newsletter: new articles on machine learning, upcoming webinars, and a summary of open source contributions this month.",legitimate
Congratulations! Your internship application has been shortlisted. Please reply with your availability for a technical interview next week.,legitimate
Invoice for your subscription renewal is attached. The amount has been charged to your saved payment method. Thank you for being a customer.,legitimate
"Hi Anita, are we still on for lunch on Saturday? Let me know what time works for you.",legitimate
Pull request 142 was merged into main. The CI pipeline passed all tests. View the changes on the repository page.,legitimate
Your library book is due in three days. You can renew it online from your library account or at the front desk.,legitimate
Please find the minutes of the department meeting attached. The semester exam timetable will be published next week.,legitimate
We received your support request and an engineer will reply within two business days. Your ticket number is 88213.,legitimate
Happy birthday! Wishing you a wonderful year ahead. Let us catch up soon over coffee.,legitimate
The lab session on Thursday has been rescheduled to 2 PM. Please check the updated timetable on the notice board.,legitimate
Your flight booking is confirmed. Departure Delhi 6:40 AM. Web check-in opens 48 hours before departure. Have a pleasant journey.,legitimate
"Security notice: we noticed a sign-in from a new device that you authorized. No action is needed. If this was not you, visit our help center.",legitimate
"Thank you for your payment. Your receipt is attached for your records. This is an automated confirmation, no reply is necessary.",legitimate
Here are the slides from today's lecture on operating systems. The next class will cover process scheduling and deadlocks.,legitimate
Your monthly bank statement is now available in net banking. We will never ask for your OTP or password over email or phone.,legitimate
The offer letter for the software developer intern position is attached. Please sign and return it by the end of the week.,legitimate
Reminder: your dentist appointment is scheduled for Monday at 10:30 AM. Reply to this email to reschedule.,legitimate
"Team, the deployment is scheduled for Friday evening. Please make sure all pull requests are reviewed before Thursday noon.",legitimate
Welcome to the coding club! Our first meetup is next Wednesday. We will be solving problems from recent contests together.,legitimate
Your webinar registration is confirmed. A calendar invite and joining link will be sent one day before the session.,legitimate
Feedback requested: how was your recent experience with our service? The survey takes about two minutes. Thanks for your time.,legitimate
Your electricity bill for this month is generated. You can view and pay it through the official mobile app before the due date.,legitimate
I have reviewed your project report. The introduction is clear but please add more details about the database schema and testing.,legitimate
Your GitHub Actions workflow failed on the main branch. Check the logs for the failing step and re-run the job after fixing.,legitimate
Exam form submission is open till the 20th. Fill in your details on the university portal and pay the fee at the college office.,legitimate
Please verify the attached figures before Friday's presentation and let me know if anything looks off.,legitimate
Update: the campus wifi will be down for maintenance on Sunday from 2 to 4 AM. Sorry for the inconvenience.,legitimate
Thanks for attending our workshop on REST APIs. The recording and code samples are available on the course page.,legitimate
"Your requested password reset link is below. If you did not request this, you can safely ignore this email.",legitimate
